id,Parent Path,complete Name,name,plankton_id,Plankton Breadcrumbs,Level Match?,Plankton Level,parent_id,query
3967,1548/3967/,Internal Licensing / Merchandise Vdr Licensing,Merchandise Vdr Licensing,3428068,Software & Licensing > Internal Licensing > Merchandise Vdr Licensing,Not Match,3,3428036,update product_category set plankton_id='3428068' where id=3967;
3955,3955/,Internal Makanan & Kebutuhan,Internal Makanan & Kebutuhan,3440706,Makanan & Kebutuhan Harian > Internal Makanan & Kebutuhan,Not Match,2,3440283,update product_category set plankton_id='3440706' where id=3955;
4519,866/1519/4516/4519/,Aksesoris Gadget & Komputer / Storage Internal / Solid State Drive / Ssd Internal / SSD NVMe,SSD NVMe,3417777,Aksesoris Gadget & Komputer > Storage Internal > Solid State Drive / Ssd Internal > Ssd NVMe,Match,4,3417729,update product_category set plankton_id='3417777' where id=4519;
4228,3955/4228/,Internal Makanan & Kebutuhan / Dump Makanan & Kebutuhan Harian,Dump Makanan & Kebutuhan Harian,3440722,Makanan & Kebutuhan Harian > Internal Makanan & Kebutuhan > Dump Makanan & Kebutuhan Harian,Not Match,3,3440706,update product_category set plankton_id='3440722' where id=4228;
9,8/9/,Admin Fee / Admin Fee,Admin Fee,,,-,-,,
18,18/,Access Barriers and Crowd Control,Access Barriers and Crowd Control,6910008974,Safety & Security > Security > Access Barriers and Crowd Control,Not Match,3,6829669156,update product_category set plankton_id='6910008974' where id=18;
3956,3955/3956/,Internal Makanan & Kebutuhan / Merchandise Vdr Makanan & Kebutuhan Harian,Merchandise Vdr Makanan & Kebutuhan Harian,3440738,Makanan & Kebutuhan Harian > Internal Makanan & Kebutuhan > Merchandise Vdr Makanan & Kebutuhan Harian,Not Match,3,3440706,update product_category set plankton_id='3440738' where id=3956;
1051,1051/,Internal Network and Security System,Internal Network and Security System,3454560,Network and Security System > Internal Network and Security System,Not Match,2,3453120,update product_category set plankton_id='3454560' where id=1051;
3789,1051/3789/,Internal Network and Security System / Dump Network and Security System,Dump Network and Security System,3454592,Network and Security System > Internal Network and Security System > Dump Network and Security System,Not Match,3,3454560,update product_category set plankton_id='3454592' where id=3789;
1052,1051/1052/,Internal Network and Security System / Merchandise Vdr Network and Security System,Merchandise Vdr Network and Security System,3454576,Network and Security System > Internal Network and Security System > Merchandise Vdr Network and Security System,Not Match,3,3454560,update product_category set plankton_id='3454576' where id=1052;
2219,2219/,Internal Peralatan Dapur,Internal Peralatan Dapur,3431896,Peralatan Dapur & Rumah Tangga > Internal Peralatan Dapur,Not Match,2,3428367,update product_category set plankton_id='3431896' where id=2219;
4144,2219/4144/,Internal Peralatan Dapur / Dump Perlatan Dapur,Dump Perlatan Dapur,3431928,Peralatan Dapur & Rumah Tangga > Internal Peralatan Dapur > Dump Perlatan Dapur,Not Match,3,3431896,update product_category set plankton_id='3431928' where id=4144;
2220,2219/2220/,Internal Peralatan Dapur / Merchandise Vdr Peralatan Dapur,Merchandise Vdr Peralatan Dapur,3431912,Peralatan Dapur & Rumah Tangga > Internal Peralatan Dapur > Merchandise Vdr Peralatan Dapur,Not Match,3,3431896,update product_category set plankton_id='3431912' where id=2220;
3537,3537/,Internal Peralatan Kantor,Internal Peralatan Kantor,3456194,Peralatan Kantor > Internal Peralatan Kantor,Not Match,2,3454674,update product_category set plankton_id='3456194' where id=3537;
4047,3537/4047/,Internal Peralatan Kantor / Dump Peralatan Kantor,Dump Peralatan Kantor,3456226,Peralatan Kantor > Internal Peralatan Kantor > Dump Peralatan Kantor,Not Match,3,3456194,update product_category set plankton_id='3456226' where id=4047;
3538,3537/3538/,Internal Peralatan Kantor / Merchandise Vdr Peralatan Kantor,Merchandise Vdr Peralatan Kantor,3456210,Peralatan Kantor > Internal Peralatan Kantor > Merchandise Vdr Peralatan Kantor,Not Match,3,3456194,update product_category set plankton_id='3456210' where id=3538;
2066,2066/,Internal Peripheral and Accesory,Internal Peripheral and Accesory,3419539,Aksesoris Gadget & Komputer > Internal Peripheral and Accesory,Not Match,2,3415416,update product_category set plankton_id='3419539' where id=2066;
2067,2066/2067/,Internal Peripheral and Accesory / Dump Peripheral and Accesory,Dump Peripheral and Accesory,3419571,Aksesoris Gadget & Komputer > Internal Peripheral and Accesory > Dump Peripheral and Accesory,Not Match,3,3419539,update product_category set plankton_id='3419571' where id=2067;
2891,2066/2891/,Internal Peripheral and Accesory / Merchandise Vdr Peripheral and Accessory,Merchandise Vdr Peripheral and Accessory,3419555,Aksesoris Gadget & Komputer > Internal Peripheral and Accesory > Merchandise Vdr Peripheral and Accessory,Not Match,3,3419539,update product_category set plankton_id='3419555' where id=2891;
149,149/,Internal Perkakas & Peralatan Lab,Internal Perkakas & Peralatan Lab,,,-,-,,
150,149/150/,Internal Perkakas & Peralatan Lab / Dump Perkakas & Peralatan Lab,Dump Perkakas & Peralatan Lab,,,-,-,,
