"id","parent_path","name","complete_name","parent_id","create_uid","create_date","write_uid","write_date","removal_strategy_id","category_code","category_level","account_intransit","account_srt_id","property_stock_reval_account_input_categ_id","property_stock_reval_account_output_categ_id","allow_negative_stock"
3967,"1548/3967/",Merchandise Vdr Licensing,Internal Licensing / Merchandise Vdr Licensing,1548,1,2022-12-19 08:19:52.894,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3955,"3955/",Internal Makanan & Kebutuhan,Internal Makanan & Kebutuhan,,1,2022-12-19 08:19:52.894,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4519,"866/1519/4516/4519/",SSD NVMe,Aksesoris Gadget & Komputer / Storage Internal / Solid State Drive / Ssd Internal / SSD NVMe,4516,1,2024-06-12 08:25:29.321,1,2024-06-13 12:59:51.770,,,,,,,,false
4228,"3955/4228/",Dump Makanan & Kebutuhan Harian,Internal Makanan & Kebutuhan / Dump Makanan & Kebutuhan Harian,3955,1,2022-12-19 08:19:57.634,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
9,"8/9/",Admin Fee,Admin Fee / Admin Fee,8,1,2022-06-08 07:32:56.576,1,2024-05-21 15:09:27.336,,,,1350,1755,1346,1603,true
18,"18/",Access Barriers and Crowd Control,Access Barriers and Crowd Control,,2,2022-12-19 08:17:45.224,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3956,"3955/3956/",Merchandise Vdr Makanan & Kebutuhan Harian,Internal Makanan & Kebutuhan / Merchandise Vdr Makanan & Kebutuhan Harian,3955,1,2022-12-19 08:19:52.894,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1051,"1051/",Internal Network and Security System,Internal Network and Security System,,1,2022-12-19 08:18:54.520,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3789,"1051/3789/",Dump Network and Security System,Internal Network and Security System / Dump Network and Security System,1051,1,2022-12-19 08:19:49.818,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1052,"1051/1052/",Merchandise Vdr Network and Security System,Internal Network and Security System / Merchandise Vdr Network and Security System,1051,1,2022-12-19 08:18:54.520,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2219,"2219/",Internal Peralatan Dapur,Internal Peralatan Dapur,,1,2022-12-19 08:19:13.693,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4144,"2219/4144/",Dump Perlatan Dapur,Internal Peralatan Dapur / Dump Perlatan Dapur,2219,1,2022-12-19 08:19:55.979,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2220,"2219/2220/",Merchandise Vdr Peralatan Dapur,Internal Peralatan Dapur / Merchandise Vdr Peralatan Dapur,2219,1,2022-12-19 08:19:13.693,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3537,"3537/",Internal Peralatan Kantor,Internal Peralatan Kantor,,1,2022-12-19 08:19:44.188,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4047,"3537/4047/",Dump Peralatan Kantor,Internal Peralatan Kantor / Dump Peralatan Kantor,3537,1,2022-12-19 08:19:54.401,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3538,"3537/3538/",Merchandise Vdr Peralatan Kantor,Internal Peralatan Kantor / Merchandise Vdr Peralatan Kantor,3537,1,2022-12-19 08:19:44.188,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2066,"2066/",Internal Peripheral and Accesory,Internal Peripheral and Accesory,,1,2022-12-19 08:19:12.077,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
